road_id,from_location_id,to_location_id,distance_km,travel_time_min,condition_weight,route_label,road_type,traffic_level,is_blocked
51,18,35,0.129,0.9,1.08,Hilla Limann Hall - School of Public Health,RESIDENTIAL_ROAD,MODERATE,False
52,19,20,0.08,0.82,1.24,Alexander Adum Kwapong Hall - Jean Nelson Aka Hall,RESIDENTIAL_ROAD,MODERATE,False
53,19,21,0.096,0.92,1.24,Alexander Adum Kwapong Hall - Elizabeth Frances Sey Hall,RESIDENTIAL_ROAD,MODERATE,False
54,19,22,0.144,0.76,1.24,Alexander Adum Kwapong Hall - African Union Hall,RESIDENTIAL_ROAD,MODERATE,False
55,19,34,0.107,0.72,1.24,Alexander Adum Kwapong Hall - Noguchi Memorial Institute for Medical Research,RESIDENTIAL_ROAD,MODERATE,False
56,19,35,0.114,0.8,1.24,Alexander Adum Kwapong Hall - School of Public Health,RESIDENTIAL_ROAD,MODERATE,False
57,20,21,0.08,0.76,1.0,Jean Nelson Aka Hall - Elizabeth Frances Sey Hall,RESIDENTIAL_ROAD,MODERATE,False
58,20,22,0.101,0.88,1.0,Jean Nelson Aka Hall - African Union Hall,RESIDENTIAL_ROAD,MODERATE,False
59,20,23,0.151,1.08,1.0,Jean Nelson Aka Hall - James Topp Nelson Yankah Hall,RESIDENTIAL_ROAD,MODERATE,False
60,20,34,0.14,0.75,1.0,Jean Nelson Aka Hall - Noguchi Memorial Institute for Medical Research,RESIDENTIAL_ROAD,MODERATE,False
61,20,35,0.116,0.74,1.0,Jean Nelson Aka Hall - School of Public Health,RESIDENTIAL_ROAD,MODERATE,False
62,21,22,0.08,0.7,1.16,Elizabeth Frances Sey Hall - African Union Hall,RESIDENTIAL_ROAD,MODERATE,False
63,21,23,0.107,0.84,1.16,Elizabeth Frances Sey Hall - James Topp Nelson Yankah Hall,RESIDENTIAL_ROAD,MODERATE,False
64,21,24,0.153,1.03,1.16,Elizabeth Frances Sey Hall - United Nations Hall,RESIDENTIAL_ROAD,MODERATE,False
65,21,35,0.123,1.0,1.16,Elizabeth Frances Sey Hall - School of Public Health,RESIDENTIAL_ROAD,MODERATE,False
66,22,23,0.08,0.58,1.32,African Union Hall - James Topp Nelson Yankah Hall,RESIDENTIAL_ROAD,MODERATE,False
67,22,24,0.093,0.68,1.32,African Union Hall - United Nations Hall,RESIDENTIAL_ROAD,MODERATE,False
68,23,24,0.08,0.7,1.08,James Topp Nelson Yankah Hall - United Nations Hall,RESIDENTIAL_ROAD,MODERATE,False
69,25,26,0.08,1.17,1.0,Banking Square - Night Market,CAMPUS_ROAD,HIGH,False
70,25,27,0.122,1.41,1.0,Banking Square - Legon Mosque,ACCESS_ROAD,HIGH,False
71,26,27,0.08,1.29,1.16,Night Market - Legon Mosque,ACCESS_ROAD,HIGH,False
72,28,41,0.103,0.64,1.08,University of Ghana Guest Centre - Department of Sociology,CAMPUS_ROAD,MODERATE,False
73,28,42,0.132,0.79,1.08,University of Ghana Guest Centre - Careers and Counselling Centre,CAMPUS_ROAD,MODERATE,False
74,28,45,0.163,0.94,1.08,University of Ghana Guest Centre - Safety and Security Services Directorate,MAIN_ROAD,MODERATE,False
75,29,44,0.119,0.87,1.24,Athletic Oval - University of Ghana Information Technology Directorate,ACCESS_ROAD,MODERATE,False
76,29,48,0.151,0.69,1.24,Athletic Oval - Sports and Wellness Directorate,ACCESS_ROAD,LOW,False
77,30,31,0.081,0.61,1.0,University of Ghana Sports Stadium - Legon Poolside,ACCESS_ROAD,LOW,False
78,30,37,0.147,0.44,1.0,University of Ghana Sports Stadium - School of Pharmacy,ACCESS_ROAD,LOW,False
79,30,48,0.087,0.38,1.0,University of Ghana Sports Stadium - Sports and Wellness Directorate,ACCESS_ROAD,LOW,False
80,31,48,0.08,0.43,1.16,Legon Poolside - Sports and Wellness Directorate,ACCESS_ROAD,LOW,False
81,33,45,0.225,1.17,1.08,University Basic School - Safety and Security Services Directorate,MAIN_ROAD,MODERATE,False
82,34,35,0.08,0.55,1.24,Noguchi Memorial Institute for Medical Research - School of Public Health,CAMPUS_ROAD,LOW,False
83,34,36,0.136,0.72,1.24,Noguchi Memorial Institute for Medical Research - School of Nursing and Midwifery,CAMPUS_ROAD,LOW,False
84,34,37,0.146,0.44,1.24,Noguchi Memorial Institute for Medical Research - School of Pharmacy,CAMPUS_ROAD,LOW,False
85,35,36,0.08,0.37,1.0,School of Public Health - School of Nursing and Midwifery,CAMPUS_ROAD,LOW,False
86,35,37,0.103,0.48,1.0,School of Public Health - School of Pharmacy,CAMPUS_ROAD,LOW,False
87,36,37,0.08,0.49,1.16,School of Nursing and Midwifery - School of Pharmacy,CAMPUS_ROAD,LOW,False
88,38,39,0.08,0.55,1.08,School of Engineering Sciences - School of Biological Sciences,CAMPUS_ROAD,LOW,False
89,38,40,0.098,0.65,1.08,School of Engineering Sciences - School of Agriculture,CAMPUS_ROAD,LOW,False
90,38,49,0.08,0.58,1.08,School of Engineering Sciences - International Programmes Office,CAMPUS_ROAD,MODERATE,False
91,39,40,0.08,0.37,1.24,School of Biological Sciences - School of Agriculture,CAMPUS_ROAD,LOW,False
92,39,49,0.123,0.82,1.24,School of Biological Sciences - International Programmes Office,CAMPUS_ROAD,MODERATE,False
93,41,42,0.08,0.49,1.16,Department of Sociology - Careers and Counselling Centre,CAMPUS_ROAD,LOW,False
94,41,43,0.1,1.32,1.16,Department of Sociology - University of Ghana Bookshop,CAMPUS_ROAD,HIGH,False
95,41,50,0.118,0.69,1.16,Department of Sociology - University of Ghana School of Law,CAMPUS_ROAD,LOW,False
96,42,43,0.09,1.04,1.32,Careers and Counselling Centre - University of Ghana Bookshop,CAMPUS_ROAD,HIGH,False
97,42,50,0.08,0.37,1.32,Careers and Counselling Centre - University of Ghana School of Law,CAMPUS_ROAD,LOW,False
98,43,50,0.117,1.27,1.08,University of Ghana Bookshop - University of Ghana School of Law,CAMPUS_ROAD,HIGH,False
99,46,47,0.107,0.84,1.16,Graduate School - Dean of Students Office,CAMPUS_ROAD,MODERATE,False
100,47,49,0.08,0.82,1.32,Dean of Students Office - International Programmes Office,CAMPUS_ROAD,MODERATE,False
