eventId,eventType,timestamp,entityType,entityId,actorType,details
21,REQUEST_STATUS_CHANGED,2026-08-02T15:57:00Z,SERVICE_REQUEST,58,DISPATCH_OPERATOR,Request 58 status changed.
22,RESOURCE_STATUS_CHANGED,2026-08-02T17:34:00Z,RESOURCE,5,DISPATCH_OPERATOR,Resource 5 status changed.
23,ROAD_BLOCK_UPDATED,2026-08-02T19:11:00Z,ROAD,54,DISPATCH_OPERATOR,Road 54 blockage status updated.
24,UNDO_ACTION,2026-08-02T20:48:00Z,SERVICE_REQUEST,109,SYSTEM,Undo action recorded for request 109.
25,REQUEST_CREATED,2026-08-02T22:25:00Z,SERVICE_REQUEST,126,DISPATCH_OPERATOR,Request 126 created.
26,REQUEST_ASSIGNED,2026-08-03T00:02:00Z,SERVICE_REQUEST,143,DISPATCH_OPERATOR,Request 143 assigned.
27,REQUEST_STATUS_CHANGED,2026-08-03T01:39:00Z,SERVICE_REQUEST,160,DISPATCH_OPERATOR,Request 160 status changed.
28,RESOURCE_STATUS_CHANGED,2026-08-03T03:16:00Z,RESOURCE,17,SYSTEM,Resource 17 status changed.
29,ROAD_BLOCK_UPDATED,2026-08-03T04:53:00Z,ROAD,20,DISPATCH_OPERATOR,Road 20 blockage status updated.
30,UNDO_ACTION,2026-08-03T06:30:00Z,SERVICE_REQUEST,211,DISPATCH_OPERATOR,Undo action recorded for request 211.
31,REQUEST_CREATED,2026-08-03T08:07:00Z,SERVICE_REQUEST,228,DISPATCH_OPERATOR,Request 228 created.
32,REQUEST_ASSIGNED,2026-08-03T09:44:00Z,SERVICE_REQUEST,245,SYSTEM,Request 245 assigned.
33,REQUEST_STATUS_CHANGED,2026-08-03T11:21:00Z,SERVICE_REQUEST,262,DISPATCH_OPERATOR,Request 262 status changed.
34,RESOURCE_STATUS_CHANGED,2026-08-03T12:58:00Z,RESOURCE,29,DISPATCH_OPERATOR,Resource 29 status changed.
35,ROAD_BLOCK_UPDATED,2026-08-03T14:35:00Z,ROAD,86,DISPATCH_OPERATOR,Road 86 blockage status updated.
36,UNDO_ACTION,2026-08-03T16:12:00Z,SERVICE_REQUEST,13,SYSTEM,Undo action recorded for request 13.
37,REQUEST_CREATED,2026-08-03T17:49:00Z,SERVICE_REQUEST,30,DISPATCH_OPERATOR,Request 30 created.
38,REQUEST_ASSIGNED,2026-08-03T19:26:00Z,SERVICE_REQUEST,47,DISPATCH_OPERATOR,Request 47 assigned.
39,REQUEST_STATUS_CHANGED,2026-08-03T21:03:00Z,SERVICE_REQUEST,64,DISPATCH_OPERATOR,Request 64 status changed.
40,RESOURCE_STATUS_CHANGED,2026-08-03T22:40:00Z,RESOURCE,11,SYSTEM,Resource 11 status changed.
41,ROAD_BLOCK_UPDATED,2026-08-04T00:17:00Z,ROAD,52,DISPATCH_OPERATOR,Road 52 blockage status updated.
42,UNDO_ACTION,2026-08-04T01:54:00Z,SERVICE_REQUEST,115,DISPATCH_OPERATOR,Undo action recorded for request 115.
43,REQUEST_CREATED,2026-08-04T03:31:00Z,SERVICE_REQUEST,132,DISPATCH_OPERATOR,Request 132 created.
44,REQUEST_ASSIGNED,2026-08-04T05:08:00Z,SERVICE_REQUEST,149,SYSTEM,Request 149 assigned.
45,REQUEST_STATUS_CHANGED,2026-08-04T06:45:00Z,SERVICE_REQUEST,166,DISPATCH_OPERATOR,Request 166 status changed.
46,RESOURCE_STATUS_CHANGED,2026-08-04T08:22:00Z,RESOURCE,23,DISPATCH_OPERATOR,Resource 23 status changed.
47,ROAD_BLOCK_UPDATED,2026-08-04T09:59:00Z,ROAD,18,DISPATCH_OPERATOR,Road 18 blockage status updated.
48,UNDO_ACTION,2026-08-04T11:36:00Z,SERVICE_REQUEST,217,SYSTEM,Undo action recorded for request 217.
49,REQUEST_CREATED,2026-08-04T13:13:00Z,SERVICE_REQUEST,234,DISPATCH_OPERATOR,Request 234 created.
50,REQUEST_ASSIGNED,2026-08-04T14:50:00Z,SERVICE_REQUEST,251,DISPATCH_OPERATOR,Request 251 assigned.
51,REQUEST_STATUS_CHANGED,2026-08-04T16:27:00Z,SERVICE_REQUEST,268,DISPATCH_OPERATOR,Request 268 status changed.
52,RESOURCE_STATUS_CHANGED,2026-08-04T18:04:00Z,RESOURCE,5,SYSTEM,Resource 5 status changed.
53,ROAD_BLOCK_UPDATED,2026-08-04T19:41:00Z,ROAD,84,DISPATCH_OPERATOR,Road 84 blockage status updated.
54,UNDO_ACTION,2026-08-04T21:18:00Z,SERVICE_REQUEST,19,DISPATCH_OPERATOR,Undo action recorded for request 19.
55,REQUEST_CREATED,2026-08-04T22:55:00Z,SERVICE_REQUEST,36,DISPATCH_OPERATOR,Request 36 created.
56,REQUEST_ASSIGNED,2026-08-05T00:32:00Z,SERVICE_REQUEST,53,SYSTEM,Request 53 assigned.
57,REQUEST_STATUS_CHANGED,2026-08-05T02:09:00Z,SERVICE_REQUEST,70,DISPATCH_OPERATOR,Request 70 status changed.
58,RESOURCE_STATUS_CHANGED,2026-08-05T03:46:00Z,RESOURCE,17,DISPATCH_OPERATOR,Resource 17 status changed.
59,ROAD_BLOCK_UPDATED,2026-08-05T05:23:00Z,ROAD,50,DISPATCH_OPERATOR,Road 50 blockage status updated.
60,UNDO_ACTION,2026-08-05T07:00:00Z,SERVICE_REQUEST,121,SYSTEM,Undo action recorded for request 121.
